Page,Visitors,Total
"SG",864,914
"US",837,1508
"JP",161,244
"IN",130,212
"CN",125,174
"RU",123,174
"BR",104,161
"CA",93,150
"GB",91,145
"DE",83,116
"AU",73,124
"MX",45,64
"KR",42,62
"TR",40,55
"FR",37,53
"PH",37,51
"HK",32,47
"NL",31,48
"ES",30,45
"VN",30,53
"PL",28,48
"KH",26,31
"PT",20,38
"AR",18,32
"SE",18,26
"NO",17,31
"CZ",16,23
"RO",16,30
"TW",16,26
"UA",16,18
"TH",15,22
"IE",14,19
"AT",13,18
"BE",13,23
"IT",13,14
"PK",13,16
"CO",12,19
"ID",12,18
"ZA",12,16
"CH",11,18
"MY",10,14
"AE",8,11
"BG",8,14
"DK",8,14
"BD",7,8
"EG",7,8
"IL",7,8
"KZ",7,12
"LV",7,11
"EE",6,14
"FI",6,6
"LT",6,8
"NZ",6,13
"PE",6,7
"SA",6,10
"CL",5,6
"GT",5,10
"HU",5,5
"LK",5,5
"MA",5,12
"DZ",4,5
"GE",4,7
"GR",4,9
"MM",4,5
"HR",3,3
"MT",3,4
"SC",3,3
"UY",3,4
"VE",3,6
"BY",2,2
"EC",2,5
"IR",2,5
"KE",2,2
"LB",2,2
"NG",2,2
"NP",2,4
"PR",2,5
"SI",2,3
"AM",1,1
"AZ",1,1
"BO",1,1
"CI",1,1
"CR",1,1
"GH",1,1
"HN",1,1
"JM",1,1
"LC",1,1
"LY",1,1
"MD",1,1
"MG",1,1
"MK",1,1
"ML",1,1
"MR",1,3
"NI",1,1
"PA",1,1
"QA",1,1
"RW",1,1
"SV",1,1
"SY",1,2
"TN",1,1
"TZ",1,1
"UG",1,1
"UZ",1,1
"YE",1,1
