Page,Visitors,Total
"google.com",244,284
"chromewebstore.google.com",178,207
"bing.com",90,106
"yandex.ru",38,38
"search.brave.com",23,25
"duckduckgo.com",22,23
"cn.bing.com",13,15
"majorgeeks.com",10,10
"114.114.114.114",7,7
"vercel.com",7,10
"search.yahoo.com",6,6
"prod.outgoing.prod.webservices.mozgcp.net",4,5
"baidu.com",2,2
"ca.search.yahoo.com",2,5
"chatgpt.com",2,2
"ecosia.org",2,2
"go.bsky.app",2,2
"sg.search.yahoo.com",2,3
"uk.search.yahoo.com",2,2
"yandex.com",2,2
"baciakte.online",1,1
"chromewebstore-google-com.translate.goog",1,1
"github.com",1,1
"google-admin.corp.google.com",1,2
"id.search.yahoo.com",1,1
"in.search.yahoo.com",1,1
"m.majorgeeks.com",1,1
"oceanhero.today",1,1
"phimarshcer.online",1,1
"softpedia.com",1,1
"webstore-prod.corp.google.com",1,1
"x7x.top",1,1
"youtube.com",1,1
